polymorphisms,MXL_vs_world,PUR_vs_world,CLM_vs_world,PEL_vs_world
CYP2C9*3,"0.48 (0.00, 1.08)","0.89 (0.38, 1.48)","1.33 (0.66, 2.14)","0.24 (0.00, 0.60)"
CYP2C9*5,"0.00 (0.00, 0.00)","1.05 (0.00, 3.86)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*6,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*8,"0.00 (0.00, 0.00)","0.32 (0.00, 1.11)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*11,"0.00 (0.00, 0.00)","0.66 (0.00, 2.32)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*13,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*16,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*29,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*31,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*33,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*45,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP3A4*22,"0.52 (0.00, 1.73)","3.55 (1.52, 6.19)","1.83 (0.39, 3.55)","0.78 (0.00, 2.01)"
rs3812718-T,"0.68 (0.51, 0.85)","0.83 (0.70, 0.97)","0.89 (0.75, 1.05)","0.89 (0.74, 1.05)"
HLA-B*15:02(i),"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.13 (0.00, 0.46)","0.00 (0.00, 0.00)"
HLA-B*15:02(ii_CHB),"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
HLA-B*40:01(ii_CEU),"1.63 (0.51, 3.03)","0.41 (0.00, 0.97)","0.46 (0.00, 1.01)","0.51 (0.00, 1.10)"
HLA-B*40:01(ii_CHB),"0.78 (0.44, 1.19)","1.79 (1.39, 2.23)","1.11 (0.77, 1.52)","0.78 (0.47, 1.10)"
HLA-B*40:01(ii_JPT),"0.78 (0.36, 1.27)","0.87 (0.52, 1.27)","0.52 (0.25, 0.86)","0.47 (0.20, 0.78)"
HLA-B*40:01(iii_CHS),"0.92 (0.52, 1.40)","0.90 (0.58, 1.28)","0.96 (0.62, 1.37)","0.78 (0.43, 1.14)"
HLA-A*40:01(iii_MAS/INS),"0.00 (0.00, 0.00)","0.74 (0.24, 1.41)","0.40 (0.00, 0.91)","0.30 (0.00, 0.76)"
HLA-A*31:01(ii_CEU),"1.11 (0.53, 1.79)","1.02 (0.59, 1.51)","0.68 (0.33, 1.10)","0.34 (0.07, 0.65)"
HLA-A*31:01(ii_CHB),"0.00 (0.00, 0.00)","0.24 (0.00, 0.63)","0.40 (0.00, 0.89)","0.00 (0.00, 0.00)"
HLA-A*31:01(ii_JPT),"0.12 (0.00, 0.41)","0.69 (0.30, 1.15)","0.51 (0.16, 0.94)","0.28 (0.00, 0.61)"
HLA-A*31:01(iii_CHS),"7.43 (4.14, 12.12)","2.81 (1.26, 4.87)","1.17 (0.26, 2.38)","2.34 (0.77, 4.36)"
HLA-A*31:01(iii_INS),"7.06 (2.94, 12.91)","3.30 (1.29, 6.05)","1.71 (0.37, 3.56)","0.45 (0.00, 1.55)"
HLA-B*15:11(ii_CHB),"0.85 (0.50, 1.29)","0.73 (0.47, 1.04)","1.02 (0.70, 1.40)","1.09 (0.74, 1.47)"
