polymorphisms,CHB_vs_east_asia,JPT_vs_east_asia,CHS_vs_east_asia,CDX_vs_east_asia,KHV_vs_east_asia
CYP2C9*2,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*3,"1.20 (0.43, 2.45)","0.51 (0.11, 1.14)","1.58 (0.68, 3.07)","0.76 (0.16, 1.72)","1.06 (0.34, 2.15)"
CYP2C9*5,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP2C9*6,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP2C9*8,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP2C9*11,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP2C9*13,"0.00 (0.00, 0.00)","1.92 (0.00, 8.60)","0.00 (0.00, 0.00)","2.21 (0.00, 10.32)","2.05 (0.00, 10.02)"
CYP2C9*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)"
CYP2C9*16,"NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*29,"1.95 (0.00, 10.67)","0.00 (0.00, 0.00)","1.90 (0.00, 10.35)","0.00 (0.00, 0.00)","2.05 (0.00, 10.02)"
CYP2C9*31,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP2C9*33,"NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*45,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP3A4*22,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
rs3812718-T,"0.77 (0.66, 0.88)","0.83 (0.72, 0.96)","1.05 (0.93, 1.17)","1.17 (1.04, 1.31)","1.23 (1.10, 1.36)"
HLA-B*15:02(i),"0.33 (0.10, 0.65)","0.00 (0.00, 0.00)","0.63 (0.30, 1.07)","1.55 (0.93, 2.49)","4.42 (3.05, 6.83)"
HLA-B*15:02(ii_CHB),"1.95 (0.00, 10.75)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.88 (0.00, 4.54)","4.09 (0.00, 19.35)"
HLA-B*40:01(ii_CEU),"0.57 (0.21, 0.98)","0.56 (0.23, 0.98)","0.93 (0.48, 1.53)","3.05 (1.98, 4.77)","0.67 (0.31, 1.20)"
HLA-B*40:01(ii_CHB),"3.24 (1.30, 7.97)","0.18 (0.00, 0.67)","0.38 (0.00, 1.13)","0.44 (0.00, 1.32)","1.91 (0.61, 4.69)"
HLA-B*40:01(ii_JPT),"0.99 (0.61, 1.46)","0.36 (0.16, 0.60)","3.10 (2.20, 4.28)","0.59 (0.32, 0.95)","0.69 (0.38, 1.09)"
HLA-B*40:01(iii_CHS),"0.95 (0.67, 1.30)","0.69 (0.46, 0.96)","1.90 (1.45, 2.46)","0.51 (0.31, 0.76)","1.11 (0.81, 1.51)"
HLA-A*40:01(iii_MAS/INS),"0.93 (0.54, 1.37)","0.39 (0.17, 0.66)","3.47 (2.41, 4.81)","0.65 (0.34, 1.05)","0.51 (0.25, 0.85)"
HLA-A*31:01(ii_CEU),"1.05 (0.65, 1.52)","1.97 (1.38, 2.73)","0.55 (0.29, 0.87)","0.55 (0.28, 0.90)","1.10 (0.70, 1.59)"
HLA-A*31:01(ii_CHB),"1.04 (0.55, 1.66)","1.37 (0.77, 2.15)","0.64 (0.31, 1.09)","0.91 (0.47, 1.55)","1.09 (0.59, 1.79)"
HLA-A*31:01(ii_JPT),"0.90 (0.49, 1.44)","1.26 (0.76, 1.95)","0.62 (0.31, 1.04)","0.80 (0.42, 1.36)","1.52 (0.96, 2.29)"
HLA-A*31:01(iii_CHS),"0.74 (0.16, 1.76)","8.17 (3.60, 24.17)","0.33 (0.00, 0.99)","0.00 (0.00, 0.00)","0.36 (0.00, 1.06)"
HLA-A*31:01(iii_INS),"3.89 (0.00, 18.59)","3.85 (0.00, 18.92)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
HLA-B*15:11(ii_CHB),"0.79 (0.57, 1.02)","1.18 (0.91, 1.46)","1.19 (0.92, 1.51)","1.24 (0.95, 1.56)","0.67 (0.49, 0.92)"
