polymorphisms,EUR_vs_world,AFR_vs_world,AMR_vs_world,EAS_vs_world,SAS_vs_world
CYP2C9*6,"0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*8,"0.11 (0.00, 0.30)","48.79 (23.03, 206.32)","0.09 (0.00, 0.30)","0.00 (0.00, 0.00)","0.06 (0.00, 0.19)"
CYP2C9*11,"0.23 (0.00, 0.65)","22.31 (9.98, 95.90)","0.18 (0.00, 0.65)","0.00 (0.00, 0.00)","0.12 (0.00, 0.40)"
CYP2C9*13,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)"
CYP2C9*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.20 (0.00, 0.75)","82.41 (20.31, 111.97)"
CYP2C9*16,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)"
CYP2C9*29,"1.33 (0.00, 8.05)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","11.90 (0.00, 24.41)","0.00 (0.00, 0.00)"
CYP2C9*31,"0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*33,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)"
CYP2C9*45,"NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP3A4*22,"7.96 (4.87, 13.28)","0.04 (0.00, 0.13)","1.96 (1.08, 3.16)","0.00 (0.00, 0.00)","0.36 (0.10, 0.69)"
rs3812718-T,"1.12 (1.05, 1.20)","0.62 (0.57, 0.67)","0.89 (0.81, 0.96)","1.28 (1.20, 1.36)","1.23 (1.16, 1.30)"
HLA-B*15:02(i),"0.02 (0.00, 0.07)","1.26 (0.92, 1.71)","0.03 (0.00, 0.11)","2.57 (1.95, 3.36)","1.65 (1.19, 2.18)"
HLA-B*15:02(ii_CHB),"0.38 (0.08, 0.86)","5.23 (2.85, 10.52)","0.00 (0.00, 0.00)","0.60 (0.17, 1.25)","0.62 (0.15, 1.27)"
HLA-B*40:01(ii_CEU),"1.84 (1.32, 2.48)","0.15 (0.06, 0.28)","0.64 (0.34, 1.00)","2.82 (2.09, 3.75)","0.58 (0.33, 0.86)"
HLA-B*40:01(ii_CHB),"2.28 (2.00, 2.59)","0.99 (0.85, 1.15)","1.18 (0.99, 1.40)","0.12 (0.07, 0.17)","0.94 (0.77, 1.10)"
HLA-B*40:01(ii_JPT),"1.88 (1.59, 2.22)","0.72 (0.59, 0.87)","0.64 (0.47, 0.83)","1.09 (0.89, 1.31)","0.82 (0.64, 1.00)"
HLA-B*40:01(iii_CHS),"1.45 (1.23, 1.70)","0.65 (0.54, 0.78)","0.88 (0.70, 1.07)","1.60 (1.36, 1.87)","0.63 (0.50, 0.77)"
HLA-A*40:01(iii_MAS/INS),"1.43 (1.02, 1.91)","0.07 (0.02, 0.16)","0.38 (0.18, 0.63)","5.15 (3.93, 6.80)","0.40 (0.22, 0.61)"
HLA-A*31:01(ii_CEU),"0.33 (0.22, 0.46)","1.09 (0.90, 1.32)","0.75 (0.54, 0.98)","1.52 (1.24, 1.86)","1.42 (1.13, 1.73)"
HLA-A*31:01(ii_CHB),"0.06 (0.00, 0.14)","1.60 (1.18, 2.14)","0.16 (0.03, 0.32)","2.53 (1.91, 3.32)","1.06 (0.73, 1.45)"
HLA-A*31:01(ii_JPT),"0.12 (0.05, 0.21)","1.57 (1.26, 1.96)","0.41 (0.24, 0.61)","1.51 (1.18, 1.91)","1.55 (1.19, 1.94)"
HLA-A*31:01(iii_CHS),"0.84 (0.43, 1.35)","0.13 (0.03, 0.28)","4.00 (2.65, 6.13)","1.48 (0.89, 2.23)","0.56 (0.24, 0.98)"
HLA-A*31:01(iii_INS),"1.11 (0.55, 2.01)","0.34 (0.11, 0.71)","3.49 (2.08, 5.71)","0.41 (0.13, 0.85)","1.15 (0.59, 1.93)"
HLA-B*15:11(ii_CHB),"0.87 (0.73, 1.02)","1.03 (0.89, 1.18)","0.91 (0.74, 1.10)","1.93 (1.69, 2.20)","0.44 (0.35, 0.54)"
